137723,2,840,840
137723,4,840,840
137723,0,840,840
137734,3,360,630
137780,1,1080,0
137738,5,600,330
137781,2,840,0
137734,1,360,630
137780,3,1080,0
137774,0,1080,0
137775,3,1080,1110
137736,0,600,330
137770,0,480,1050
137769,4,840,1050
137782,5,600,150
137782,3,600,150
137783,2,840,330
137783,4,840,330
137781,4,840,0
137751,1,600,150
137752,5,480,150
137744,6,360,150
137760,6,600,1350
137753,6,600,1200
137768,3,360,840
137755,5,480,330
137745,5,600,1050
137784,5,600,1230
137777,5,840,240
137775,5,1080,1110
137743,3,840,1230
137784,0,600,1230
137775,1,1080,1110
137735,2,360,1110
137756,6,480,1320
137777,0,840,240
137788,0,600,630
137761,2,1080,750
137743,0,840,1230
137749,2,1080,1320
137759,0,840,1410
137753,3,600,1200
137749,4,1080,1320
137759,5,840,1410
137740,2,840,300
137740,0,840,300
137742,6,480,1320
137736,3,600,330
137763,0,600,840
137759,2,840,1410
137746,3,840,1020
137779,5,600,1050
137794,1,840,0
137785,4,360,390
137766,1,360,750
137794,3,840,0
137735,4,360,1110
137761,0,1080,750
137747,0,480,1020
137787,1,1080,630
137744,1,360,150
137754,2,840,840
137774,2,1080,0
137769,2,840,1050
137793,2,480,510
137755,1,480,330
137789,5,360,0
137794,6,840,0
137770,5,480,1050
137744,4,360,150
137755,3,480,330
137754,0,840,840
137785,1,360,390
137751,4,600,150
137778,1,360,1020
137757,0,480,510
137739,6,600,510
137771,6,480,630
137739,1,600,510
137790,6,1080,840
137756,2,480,1320
137757,5,480,510
137785,6,360,390
137745,2,600,1050
137752,0,480,150
137791,5,1080,390
137757,3,480,510
137791,0,1080,390
137762,5,1080,1320
137751,6,600,150
137787,6,1080,630
137758,6,600,1110
137763,5,600,840
137746,6,840,1020
137776,6,480,630
137746,1,840,1020
137735,6,360,1110
137788,2,600,630
137754,4,840,840
137756,4,480,1320
137748,1,1080,1230
137767,2,840,1200
137748,3,1080,1230
137738,0,600,330
137765,2,840,750
137768,1,360,840
137737,6,600,1200
137745,0,600,1050
137724,2,480,330
137742,4,480,1320
137773,6,840,630
137784,3,600,1230
137742,2,480,1320
137788,4,600,630
137772,5,360,1200
137724,6,480,330
137752,2,480,150
137760,3,600,1350
137769,6,840,1050
137743,5,840,1230
137793,5,480,510
137761,4,1080,750
137753,1,600,1200
137792,4,840,1410
137762,3,1080,1320
137724,4,480,330
137795,4,840,390
137789,1,360,0
137782,1,600,150
137776,4,480,630
137790,4,1080,840
137783,6,840,330
137786,0,360,1410
137787,3,1080,630
137765,0,840,750
137791,3,1080,390
137739,3,600,510
137764,4,840,390
137796,4,600,1320
137786,2,360,1410
137747,2,480,1020
137763,3,600,840
137792,6,840,1410
137786,5,360,1410
137741,1,360,330
137750,0,1080,1230
137792,1,840,1410
137793,0,480,510
137766,6,360,750
137765,5,840,750
137760,1,600,1350
137766,3,360,750
137780,6,1080,0
137741,3,360,330
137777,3,840,240
137725,3,360,150
137795,2,840,390
137797,5,840,1350
137762,1,1080,1320
137767,4,840,1200
137736,5,600,330
137778,4,360,1020
137725,5,360,150
137797,3,840,1350
137737,4,600,1200
137796,2,600,1320
137725,1,360,150
137795,0,840,390
137764,1,840,390
137778,6,360,1020
137764,6,840,390
137772,0,360,1200
137796,6,600,1320
137771,1,480,630
137741,5,360,330
137773,3,840,630
137737,1,600,1200
137776,2,480,630
137768,5,360,840
137734,5,360,630
137758,1,600,1110
